Lvl 1	0	0	0	0	0
Lvl 2	100	175	275	440	660
Lvl 3	210	365	575	930	1,390
Lvl 4	330	575	905	1,470	2,190
Lvl 5	460	805	1,265	2,070	3,070
Lvl 6	605	1,055	1,665	2,730	4,030
Lvl 7	765	1,330	2,105	3,460	5,080
Lvl 8	940	1,630	2,595	4,260	6,230
Lvl 9	1,130	1,960	3,135	5,140	7,490
Lvl 10	1,340	2,320	3,735	6,100	8,870
Lvl 11	1,570	2,720	4,395	7,150	10,380
Lvl 12	1,820	3,160	5,125	8,300	12,030
Lvl 13	2,095	3,650	5,925	9,560	13,830
Lvl 14	2,395	4,190	6,805	10,940	15,790
Lvl 15	2,725	4,790	7,765	12,450	17,920
Lvl 16	3,085	5,450	8,815	14,100	20,230
Lvl 17	3,485	6,180	9,965	15,900	22,730
Lvl 18	3,925	6,980	11,225	17,860	25,430
Lvl 19	4,415	7,860	12,605	19,990	28,350
Lvl 20	4,955	8,820	14,115	22,300	31,510
Lvl 21	5,555	9,870	15,765	24,800	34,930
Lvl 22	6,215	11,020	17,565	27,500	38,630
Lvl 23	6,945	12,280	19,525	30,420	42,630
Lvl 24	7,745	13,660	21,655	33,580	46,980
Lvl 25	8,625	15,170	23,965	37,000	51,730
Lvl 26	9,585	16,820	26,465	40,700	56,930
Lvl 27	10,635	18,620	29,165	44,700	62,630
Lvl 28	11,785	20,580	32,085	49,050	68,930
Lvl 29	13,045	22,710	35,245	53,800	75,930
Lvl 30	14,425	25,020	38,665	59,000	83,730
Lvl 31	15,935	27,520	42,365	64,700	92,430
Lvl 32	17,585	30,220	46,365	71,000	102,130
Lvl 33	19,385	33,140	50,715	78,000	112,930
Lvl 34	21,345	36,300	55,465	85,800	124,930
Lvl 35	23,475	39,720	60,665	94,500	138,230
Lvl 36	25,785	43,420	66,365	104,200	152,930
Lvl 37	28,285	47,420	72,665	115,000	169,130
Lvl 38	30,985	51,770	79,665	127,000	186,930
Lvl 39	33,905	56,520	87,465	140,300	206,430
Lvl 40	37,065	61,720	96,165	155,000	227,730
Lvl 41	40,485	67,420	105,865	171,200	250,930
Lvl 42	44,185	73,720	116,665	189,000	276,130
Lvl 43	48,185	80,720	128,665	208,500	303,530
Lvl 44	52,535	88,520	141,965	229,800	333,330
Lvl 45	57,285	97,220	156,665	253,000	365,730
Lvl 46	62,485	106,920	172,865	278,200	400,930
Lvl 47	68,185	117,720	190,665	305,600	439,130
Lvl 48	74,485	129,720	210,165	335,400	480,530
Lvl 49	81,485	143,020	231,465	367,800	525,330
Lvl 50	89,285	157,720	254,665	403,000	573,730
Lvl 51	97,985	173,920	279,865	441,200	625,930
Lvl 52	107,685	191,720	307,265	482,600	682,130
Lvl 53	118,485	211,220	337,065	527,400	742,530
Lvl 54	130,485	232,520	369,465	575,800	807,330
Lvl 55	143,785	255,720	404,665	628,000	876,730
Lvl 56	158,485	280,920	442,865	684,200	950,930
Lvl 57	174,685	308,320	484,265	744,600	1,030,130
Lvl 58	192,485	338,120	529,065	809,400	1,114,830
Lvl 59	211,985	370,520	577,465	878,800	1,205,530
Lvl 60	233,285	405,720	629,665	953,000	1,302,730
Lvl 61	256,485	443,920	685,865	1,032,200	1,406,930
Lvl 62	281,685	485,320	746,265	1,116,900	1,518,630
Lvl 63	309,085	530,120	811,065	1,207,600	1,638,330
Lvl 64	338,885	578,520	880,465	1,304,800	1,766,530
Lvl 65	371,285	630,720	954,665	1,409,000	1,903,730
Lvl 66	406,485	686,920	1,033,865	1,520,700	2,050,430
Lvl 67	444,685	747,320	1,118,565	1,640,400	2,207,130
Lvl 68	486,085	812,120	1,209,265	1,768,600	2,374,830
Lvl 69	530,885	881,520	1,306,465	1,905,800	2,554,530
Lvl 70	579,285	955,720	1,410,665	2,052,500	2,747,230
Lvl 71	631,485	1,034,920	1,522,365	2,209,200	2,953,930
Lvl 72	687,685	1,119,620	1,642,065	2,376,900	3,175,630
Lvl 73	748,085	1,210,320	1,770,265	2,556,600	3,413,330
Lvl 74	812,885	1,307,520	1,907,465	2,749,300	3,668,030
Lvl 75	882,285	1,411,720	2,054,165	2,956,000	3,940,730
Lvl 76	956,485	1,523,420	2,210,865	3,177,700	4,232,430
